Family,FDR,cluster,count
ZF-HD,NA,TFM,NA
G2-like,NA,TFM,NA
DBB,NA,TFM,NA
MIKC_MADS,NA,TFM,NA
Dof,NA,TFM,NA
CO-like,NA,TFM,NA
MYB,NA,TFM,NA
HRT-like,NA,TFM,NA
VOZ,NA,TFM,NA
ZF-HD,NA,TFBS,NA
G2-like,NA,TFBS,NA
DBB,NA,TFBS,NA
MIKC_MADS,NA,TFBS,NA
Dof,NA,TFBS,NA
CO-like,NA,TFBS,NA
MYB,NA,TFBS,NA
HRT-like,NA,TFBS,NA
VOZ,NA,TFBS,NA
ZF-HD,0.005341939,TFV,3
G2-like,0.011596241,TFV,6
DBB,0.044864645,TFV,2
MIKC_MADS,0.081765723,TFV,2
Dof,0.011596241,TFV,4
CO-like,NA,TFV,NA
MYB,NA,TFV,NA
HRT-like,NA,TFV,NA
VOZ,NA,TFV,NA
ZF-HD,NA,TFBS&M,NA
G2-like,NA,TFBS&M,NA
DBB,NA,TFBS&M,NA
MIKC_MADS,NA,TFBS&M,NA
Dof,NA,TFBS&M,NA
CO-like,1.74E-05,TFBS&M,6
MYB,NA,TFBS&M,NA
HRT-like,NA,TFBS&M,NA
VOZ,NA,TFBS&M,NA
ZF-HD,NA,TFBS&V,NA
G2-like,NA,TFBS&V,NA
DBB,NA,TFBS&V,NA
MIKC_MADS,NA,TFBS&V,NA
Dof,0.088524653,TFBS&V,3
CO-like,NA,TFBS&V,NA
MYB,0.054031394,TFBS&V,6
HRT-like,0.055706522,TFBS&V,1
VOZ,0.088524653,TFBS&V,1
ZF-HD,NA,TFM&V,NA
G2-like,NA,TFM&V,NA
DBB,NA,TFM&V,NA
MIKC_MADS,NA,TFM&V,NA
Dof,NA,TFM&V,NA
CO-like,NA,TFM&V,NA
MYB,NA,TFM&V,NA
HRT-like,NA,TFM&V,NA
VOZ,NA,TFM&V,NA
